s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
88.0807330,89627.2574847,43159.5611376,-2.7067968,0.0087128,9.7222222,0.0000000
89.0774756,89627.6848416,43158.6606589,-2.6861720,0.0327374,9.7222222,0.0000000
90.0727998,89628.1412814,43157.7761630,-2.6395841,0.0605777,9.7222222,0.0000000
91.0731611,89628.6484845,43156.9139172,-2.5807676,0.0569006,9.7222222,0.0000000
92.0833821,89629.2065173,43156.0718092,-2.5362544,0.0314582,9.7222222,0.0000000
93.1048252,89629.7983653,43155.2393058,-2.5142074,0.0119536,9.7222222,0.0000000
94.1339673,89630.4049262,43154.4079110,-2.5115918,-0.0067788,9.7222222,0.0000000
95.1636943,89631.0059860,43153.5718101,-2.5282627,-0.0257003,9.7222222,0.0000000
96.1882991,89631.5818340,43152.7243349,-2.5646744,-0.0456382,9.7222222,0.0000000
97.2032414,89632.1126355,43151.8592583,-2.6212924,-0.0662343,9.7222222,0.0000000
98.2068566,89632.5785487,43150.9703441,-2.7006878,-0.0921105,9.7222222,0.0000000
99.2027340,89632.9601355,43150.0504728,-2.7977556,-0.1023289,9.7222222,0.0000000
100.1997763,89633.2530000,43149.0974126,-2.8837917,-0.0700555,9.7222222,0.0000000
101.2051297,89633.4793397,43148.1178689,-2.9407867,-0.0435495,9.7222222,0.0000000
102.2202904,89633.6644399,43147.1197261,-2.9710866,-0.0164248,9.7222222,0.0000000
103.2440502,89633.8342563,43146.1101487,-2.9743146,0.0099147,9.7222222,0.0000000
104.2741494,89634.0149065,43145.0960136,-2.9524123,0.0326033,9.7222222,0.0000000
105.3045818,89634.2293429,43144.0881406,-2.9077580,0.0544324,9.7222222,0.0000000
106.3277814,89634.4978455,43143.1007988,-2.8404859,0.0772436,9.7222222,0.0000000
107.3432582,89634.8428603,43142.1457293,-2.7430562,0.1145164,9.7222222,0.0000000
108.3590925,89635.2921413,43141.2346498,-2.6228142,0.1206305,9.7222222,0.0000000
109.3881863,89635.8565067,43140.3741117,-2.4994121,0.1208170,9.7222222,0.0000000
110.4221082,89636.5256536,43139.5859258,-2.3767298,0.1164836,9.7222222,0.0000000
111.4580455,89637.2862575,43138.8826138,-2.2579275,0.1135890,9.7222222,-1.9497786
112.4940946,89638.1246883,43138.2739829,-2.1394154,0.1139785,9.5121749,-3.0000000
113.5421034,89639.0399811,43137.7635307,-2.0195682,0.1143676,9.1756972,-3.0000000
114.5854081,89640.0044564,43137.3656965,-1.9039173,0.1180800,8.8280004,-3.0000000
115.5515669,89640.9345132,43137.1040531,-1.7871263,0.1116602,8.4933291,-3.0000000
116.5037250,89641.8760837,43136.9624551,-1.6381260,0.2055094,8.1500730,-3.0000000
117.4358170,89642.8077444,43136.9908058,-1.4388565,0.2301453,7.7994319,3.0000000
118.3352457,89643.6832133,43137.1970250,-1.2480921,0.1780081,8.1380409,3.0000000
119.2645509,89644.5369870,43137.5640108,-1.0807242,0.1833393,8.4736970,-0.0441133
120.2253126,89645.3414671,43138.0892485,-0.9021452,0.1952069,8.4686939,3.0000000
121.1893484,89646.0399320,43138.7537121,-0.7217880,0.1752172,8.8035783,3.0000000
122.1686842,89646.6246369,43139.5393449,-0.5609348,0.1561751,9.1312106,-0.8848178
123.1474873,89647.0827371,43140.4043302,-0.4145464,0.1477783,9.0358664,-3.0000000
124.1184121,89647.3988232,43141.3223632,-0.2425594,0.1846446,8.7075446,3.0000000
125.1508855,89647.5645425,43142.3414503,-0.0869527,0.1416865,9.0562782,3.0000000
126.1423859,89647.5818819,43143.3327991,0.0474246,0.1146880,9.3789752,3.0000000
127.1602925,89647.4728190,43144.3448461,0.1683683,0.1211239,9.6991039,0.2114332
128.2220678,89647.2298500,43145.3784479,0.2940486,0.1248604,9.7222222,0.0000000
129.2588013,89646.8671349,43146.3496606,0.4184371,0.1112609,9.7222222,0.0000000
130.2824669,89646.4016400,43147.2613655,0.5223374,0.0915568,9.7222222,0.0000000
131.3028197,89645.8543115,43148.1224993,0.6071126,0.0744925,9.7222222,0.0000000
132.3214909,89645.2436856,43148.9378685,0.6762262,0.0612608,9.7222222,0.0000000
133.3351255,89644.5877795,43149.7106831,0.7278593,0.0409763,9.7222222,0.0000000
134.3350237,89643.9104833,43150.4462552,0.7561490,0.0149988,9.7222222,0.0000000
135.3341338,89643.2222996,43151.1705646,0.7597136,-0.0076833,9.7222222,0.0000000
136.3454648,89642.5289272,43151.9067881,0.7506989,-0.0103910,9.7222222,0.0000000
137.3474398,89641.8505788,43152.6442142,0.7348948,-0.0211077,9.7222222,0.0000000
138.3468926,89641.1896206,43153.3939077,0.7085888,-0.0311042,9.7222222,0.0000000
139.3549299,89640.5462936,43154.1699679,0.6747957,-0.0366387,9.7222222,0.0000000
140.3559885,89639.9368285,43154.9641156,0.6325210,-0.0475756,9.7222222,0.0000000
141.3550511,89639.3647332,43155.7831596,0.5879503,-0.0413125,9.7222222,0.0000000
142.3598260,89638.8233538,43156.6296116,0.5518012,-0.0310658,9.7222222,0.0000000
143.3624160,89638.3097602,43157.4906623,0.5254748,-0.0213116,9.7222222,0.0000000
144.3645089,89637.8149337,43158.3620617,0.5090684,-0.0114315,9.7222222,0.0000000
145.3674992,89637.3297565,43159.2398957,0.5023295,-0.0020178,9.7222222,0.0000000
146.3700836,89636.8465161,43160.1183343,0.5051455,0.0076525,9.7222222,0.0000000
147.3699400,89636.3579579,43160.9907010,0.5174508,0.0170333,9.7222222,0.0000000
148.3665830,89635.8559018,43161.8516521,0.5403529,0.0286920,9.7222222,0.0000000
149.3676378,89635.3284691,43162.7024903,0.5697394,0.0301829,9.7222222,0.0000000
150.3689232,89634.7772463,43163.5383886,0.5943720,0.0190816,9.7222222,0.0000000
151.3690461,89634.2109188,43164.3627180,0.6075437,0.0071210,9.7222222,0.0000000
152.3793445,89633.6326056,43165.1911241,0.6097050,-0.0027411,9.7222222,0.0000000
153.3878705,89633.0566400,43166.0190058,0.6054779,-0.0057185,9.7222222,0.0000000
154.3854881,89632.4911047,43166.8408396,0.6000878,-0.0049739,9.7222222,0.0000000
155.3883120,89631.9264469,43167.6695841,0.5965857,-0.0020546,9.7222222,0.0000000
156.3883529,89631.3645477,43168.4968392,0.5978382,0.0047059,9.7222222,0.0000000
157.3619918,89630.8124144,43169.2987877,0.6109979,0.0226350,9.7222222,0.0000000
158.3076773,89630.2585183,43170.0652865,0.6450547,0.0517737,9.7222222,0.0000000
159.2174476,89629.6891963,43170.7749022,0.7135565,0.0925789,9.7222222,0.0000000
160.1483741,89629.0512521,43171.4528780,0.7961200,0.0905810,9.7222222,0.0000000
161.0616438,89628.3740153,43172.0655867,0.8724239,0.0760259,9.7222222,0.0000000
161.9611596,89627.6629244,43172.6164754,0.9541829,0.0975128,9.7222222,0.0000000
162.9106761,89626.8680677,43173.1358833,1.0229788,0.0535957,9.7222222,0.0000000
163.8834712,89626.0277820,43173.6260366,1.0560446,0.0142243,9.7222222,0.0000000
164.8899547,89625.1523754,43174.1226976,1.0452153,-0.0352216,9.7222222,0.0000000
165.9005096,89624.2901048,43174.6496802,0.9943096,-0.0641382,9.7222222,-2.8374242
166.9218357,89623.4564684,43175.2397289,0.9081982,-0.1066460,9.4194339,-3.0000000
167.9393907,89622.6920459,43175.9113511,0.7883472,-0.1260192,9.0895767,-3.0000000
168.9546743,89622.0176425,43176.6702850,0.6644842,-0.1271811,8.7480685,-3.0000000
169.9033069,89621.4789309,43177.4511139,0.5435775,-0.1258628,8.4164664,-3.0000000
170.7866491,89621.0715795,43178.2349240,0.4070096,-0.1792360,8.0954836,-3.0000000
171.6407981,89620.7993497,43179.0445297,0.2342921,-0.2317422,7.7725131,3.0000000
172.4577526,89620.6736306,43179.8517530,0.0904962,-0.1159050,8.0816884,3.0000000
173.2504752,89620.6402476,43180.6437723,-0.0056184,-0.1116023,8.3707838,3.0000000
174.0997389,89620.6908844,43181.4915251,-0.1217417,-0.1689856,8.6698099,3.0000000
174.9589040,89620.8527543,43182.3353040,-0.2536892,-0.1435302,8.9621758,3.0000000
175.8047313,89621.1153793,43183.1393264,-0.3756273,-0.1293469,9.2409718,3.0000000
176.7065711,89621.4926067,43183.9584811,-0.4874939,-0.1289774,9.5292496,2.0496850
177.6128097,89621.9632704,43184.7329125,-0.6052130,-0.1323535,9.7222222,-1.9806405
178.5047774,89622.5160543,43185.4329385,-0.7345500,-0.1519465,9.5387772,-3.0000000
179.4121621,89623.1698721,43186.0621199,-0.8764262,-0.1636585,9.2489979,-0.1942053
180.3223747,89623.9102790,43186.5915391,-1.0237647,-0.1643377,9.2298660,3.0000000
181.2188454,89624.7078703,43187.0008163,-1.1674392,-0.1499693,9.5167878,2.1779273
182.1262115,89625.5642947,43187.3005670,-1.3004580,-0.1476700,9.7222222,-0.2088038
183.0408610,89626.4600334,43187.4855964,-1.4310008,-0.1302136,9.7025584,-3.0000000
183.9931022,89627.4091985,43187.5620749,-1.5493824,-0.1274670,9.4035203,-3.0000000
184.8912075,89628.3069019,43187.5352099,-1.6493501,-0.1106850,9.1124948,-3.0000000
185.6472572,89629.0558668,43187.4319496,-1.7715882,-0.1477740,8.8600939,-3.0000000
186.5032930,89629.8826430,43187.2100523,-1.9005343,-0.1908266,8.5653400,3.0000000
187.3510622,89630.6708437,43186.8978788,-1.9576934,0.0665297,8.8572944,3.0000000
188.2332985,89631.4945187,43186.5818085,-1.9243952,0.0133310,9.1512339,3.0000000
189.1525416,89632.3524458,43186.2517040,-1.9686248,-0.0939344,9.4477796,2.6468259
190.1463857,89633.2534329,43185.8322421,-2.0409099,-0.0718575,9.7222222,0.0000000
191.0461966,89634.0400711,43185.3953668,-2.1136715,-0.0658006,9.7222222,0.0000000
192.0335879,89634.8740003,43184.8666859,-2.1505911,-0.0186946,9.7222222,0.0000000
193.0552662,89635.7252763,43184.3017471,-2.1592810,0.0015957,9.7222222,0.0000000
